Title,Price,Category,Rating,Number of Reviews
Unknown,0,mobiles 5g,Unknown,0
Unknown,0,mobiles 5g,Unknown,0
"OPPO K13x 5G 6000mAh and 45W SUPERVOOC Charger & AI (Midnight Violet, 128 GB)","₹11,999",mobiles 5g,4.5,"13,953 Ratings & 1,243 Reviews"
"Nothing Phone (3) (Black, 256 GB)","₹79,999",mobiles 5g,4.4,"1,735 Ratings & 158 Reviews"
"vivo T4x 5G (Pronto Purple, 128 GB)","₹14,499",mobiles 5g,4.4,"1,18,524 Ratings & 5,772 Reviews"
"vivo T4x 5G (Glacial Teal, 128 GB)","₹13,499",mobiles 5g,4.4,"1,57,603 Ratings & 7,149 Reviews"
"vivo T4 5G (Phantom Grey, 128 GB)","₹20,999",mobiles 5g,4.5,"70,882 Ratings & 3,232 Reviews"
"Samsung Galaxy A35 5G (Awesome Lilac, 128 GB)","₹17,999",mobiles 5g,4.4,"46,492 Ratings & 2,729 Reviews"
"MOTOROLA Edge 60 Fusion 5G (PANTONE Slipstream, 256 GB)","₹19,999",mobiles 5g,4.5,"86,762 Ratings & 4,464 Reviews"
"Motorola g45 5G (Brilliant Blue, 128 GB)","₹11,999",mobiles 5g,4.3,"2,33,615 Ratings & 11,670 Reviews"
"vivo T4x 5G (Marine Blue, 128 GB)","₹13,499",mobiles 5g,4.4,"1,57,603 Ratings & 7,149 Reviews"
"POCO M7 5G (Mint Green, 128 GB)","₹8,499",mobiles 5g,4.1,"44,433 Ratings & 2,094 Reviews"
"Samsung Galaxy A35 5G (Awesome Iceblue, 256 GB)","₹19,999",mobiles 5g,4.4,"46,492 Ratings & 2,729 Reviews"
"realme P4 Pro 5G (Birch Wood, 128 GB)","₹22,999",mobiles 5g,4.4,"9,401 Ratings & 798 Reviews"
"POCO M7 5G  - Locked with Airtel Prepaid (Satin Black, 128 GB)","₹7,849",mobiles 5g,4.1,"44,433 Ratings & 2,094 Reviews"
"MOTOROLA g35 5G (Leaf Green, 128 GB)","₹8,999",mobiles 5g,4.2,"93,278 Ratings & 6,141 Reviews"
"OPPO K13 5G with 7000mAh and 80W SUPERVOOC Charger In-The-Box (Icy Purple, 128 GB)","₹17,999",mobiles 5g,4.5,"53,001 Ratings & 3,274 Reviews"
"realme P3x 5G (Midnight Blue, 128 GB)","₹11,249",mobiles 5g,4.4,"14,681 Ratings & 588 Reviews"
"Google Pixel 9A (Porcelain, 256 GB)","₹44,999",mobiles 5g,4.4,"3,009 Ratings & 234 Reviews"
"Google Pixel 9A (Obsidian, 256 GB)","₹44,999",mobiles 5g,4.4,"3,009 Ratings & 234 Reviews"
